figure_id,variable,group_code,group_label,valid_n,positive_n,percentage,count,mean,median,p25,p75,min,max,p95,p99,notes
fig1,proc_improve,1,1,60642,316,0.5210909930411266,,,,,,,,,,Distribution across response categories 1-5
fig1,proc_improve,2,2,60642,1429,2.3564526235942087,,,,,,,,,,Distribution across response categories 1-5
fig1,proc_improve,3,3,60642,13410,22.113386761650343,,,,,,,,,,Distribution across response categories 1-5
fig1,proc_improve,4,4,60642,32143,53.00451832063586,,,,,,,,,,Distribution across response categories 1-5
fig1,proc_improve,5,5,60642,13344,22.00455130107846,,,,,,,,,,Distribution across response categories 1-5
fig2,ai_use,0,None,29089,3526,12.121420468218227,,,,,,,,,,
fig2,ai_use,1,Internal,7911,2910,36.78422449753508,,,,,,,,,,
fig2,ai_use,2,Mixed-duty,12574,2315,18.4110068395101,,,,,,,,,,
fig2,ai_use,3,Outsourced,6942,696,10.025929127052722,,,,,,,,,,
fig2,ai_use,4,Multiple,4126,1609,38.99660688317984,,,,,,,,,,
fig3,proc_high,0,None,29089,20340,69.92333871910344,,,,,,,,,,
fig3,proc_high,1,Internal,7911,7040,88.99001390468968,,,,,,,,,,
fig3,proc_high,2,Mixed-duty,12574,9563,76.05376173055511,,,,,,,,,,
fig3,proc_high,3,Outsourced,6942,5120,73.75396139441082,,,,,,,,,,
fig3,proc_high,4,Multiple,4126,3424,82.98594280174503,,,,,,,,,,
fig4,it_invest_share_pct,,overall,48542,,,48542,1.685653660747394,1.0,1.0,1.0,1.0,100.0,5.0,15.0,Display-only x-axis capped at 99th percentile (15.00)
